Count : 90
+------------------------------------+------------------+-----------+------------------+----------+
| Name                               | Elapsed          | CallCount | TimePerCall      | Percent  |
+------------------------------------+------------------+-----------+------------------+----------+
| IQueryProvider.Execute<T>          | 00:01:46.4714470 |     14019 | 00:00:00.0075947 |    3.15% |
| IQueryProvider.GetEnumerator<T>    | 00:06:30.7694614 |     40441 | 00:00:00.0096627 |   11.57% |
| IQueryProvider.GetEnumerator       | 00:00:00.2626037 |        96 | 00:00:00.0027354 |    0.01% |
|   GetQuery                         | 00:03:13.9620502 |     63987 | 00:00:00.0030312 |    5.74% |
|     Find                           | 00:00:08.5511972 |     63987 | 00:00:00.0001336 |    0.25% |
|       Expose                       | 00:00:00.7357277 |     63987 | 00:00:00.0000114 |    0.02% |
|       Find                         | 00:00:02.8233104 |     69066 | 00:00:00.0000408 |    0.08% |
|     Create                         | 00:03:04.3792941 |     23914 | 00:00:00.0077100 |    5.46% |
|       Build                        | 00:03:02.5435229 |     24123 | 00:00:00.0075671 |    5.41% |
|         BuildSequence              | 00:04:05.5927053 |    245228 | 00:00:00.0010014 |    7.27% |
|           Build                    | 00:04:01.8841295 |    209374 | 00:00:00.0011552 |    7.16% |
|         BuildQuery                 | 00:02:36.9075235 |     24037 | 00:00:00.0065277 |    4.65% |
|           FinalizeQuery            | 00:01:25.4685452 |     52507 | 00:00:00.0016277 |    2.53% |
|   GetIEnumerable                   | 00:00:00.2915329 |     53388 | 00:00:00.0000054 |    0.01% |
| Execute                            | 00:17:39.2099160 |    177754 | 00:00:00.0059588 |   31.37% |
|   Execute Query                    | 00:10:25.3752387 |     44791 | 00:00:00.0139620 |   18.52% |
|   Execute Query Async              | 00:00:08.5060345 |      8597 | 00:00:00.0009894 |    0.25% |
|   Execute Element                  | 00:00:09.4213559 |      2496 | 00:00:00.0037745 |    0.28% |
|   Execute Element Async            | 00:00:00.5878767 |       164 | 00:00:00.0035846 |    0.02% |
|   Execute Scalar                   | 00:00:01.3984639 |       674 | 00:00:00.0020748 |    0.04% |
|   Execute Scalar Async             | 00:00:00.0987585 |        24 | 00:00:00.0041149 |    0.00% |
|   Execute NonQuery                 | 00:03:17.0784847 |     59043 | 00:00:00.0033378 |    5.84% |
|   Execute NonQuery Async           | 00:00:02.6923523 |       727 | 00:00:00.0037033 |    0.08% |
|   CreateTable                      | 00:00:32.8304143 |      8719 | 00:00:00.0037653 |    0.97% |
|   CreateTable Async                | 00:00:00.2979542 |        82 | 00:00:00.0036335 |    0.01% |
|   DropTable                        | 00:00:53.1655308 |     17066 | 00:00:00.0031152 |    1.57% |
|   DropTable Async                  | 00:00:00.3319078 |       114 | 00:00:00.0029114 |    0.01% |
|   Delete Object                    | 00:00:00.2152503 |        58 | 00:00:00.0037112 |    0.01% |
|   Delete Object Async              | 00:00:00.0252077 |         6 | 00:00:00.0042012 |    0.00% |
|   Insert Object                    | 00:01:12.0939117 |     23873 | 00:00:00.0030198 |    2.14% |
|   Insert Object Async              | 00:00:00.3301094 |       106 | 00:00:00.0031142 |    0.01% |
|   InsertOrReplace Object           | 00:00:01.0246447 |       169 | 00:00:00.0060629 |    0.03% |
