Count : 90
+------------------------------------+------------------+-----------+------------------+----------+
| Name                               | Elapsed          | CallCount | TimePerCall      | Percent  |
+------------------------------------+------------------+-----------+------------------+----------+
| IQueryProvider.Execute<T>          | 00:04:24.0615904 |     15772 | 00:00:00.0167424 |    3.94% |
| IQueryProvider.GetEnumerator<T>    | 00:08:23.0094251 |     43669 | 00:00:00.0115186 |    7.51% |
| IQueryProvider.GetEnumerator       | 00:00:00.3568764 |       104 | 00:00:00.0034315 |    0.01% |
|   GetQuery                         | 00:04:35.7754364 |     69360 | 00:00:00.0039760 |    4.12% |
|     Find                           | 00:00:13.0502629 |     69360 | 00:00:00.0001881 |    0.19% |
|       Expose                       | 00:00:01.8532572 |     69360 | 00:00:00.0000267 |    0.03% |
|       Find                         | 00:00:02.2494892 |     76268 | 00:00:00.0000294 |    0.03% |
|     Create                         | 00:04:21.8764930 |     27617 | 00:00:00.0094824 |    3.91% |
|       Build                        | 00:04:20.1872066 |     27829 | 00:00:00.0093494 |    3.89% |
|         BuildSequence              | 00:07:50.4184692 |    343525 | 00:00:00.0013693 |    7.03% |
|           Build                    | 00:07:43.9496888 |    282298 | 00:00:00.0016434 |    6.93% |
|         BuildQuery                 | 00:03:38.6512057 |     27689 | 00:00:00.0078966 |    3.27% |
|           FinalizeQuery            | 00:02:02.8406529 |     66229 | 00:00:00.0018547 |    1.83% |
|   GetIEnumerable                   | 00:00:00.2629090 |     57847 | 00:00:00.0000045 |    0.00% |
| Execute                            | 00:43:20.4890268 |    226888 | 00:00:00.0114615 |   38.84% |
|   Execute Query                    | 00:21:18.2245466 |     48886 | 00:00:00.0261470 |   19.09% |
|   Execute Query Async              | 00:00:51.9021394 |      8647 | 00:00:00.0060023 |    0.78% |
|   Execute Element                  | 00:00:36.0545741 |      2764 | 00:00:00.0130443 |    0.54% |
|   Execute Element Async            | 00:00:01.6252535 |       172 | 00:00:00.0094491 |    0.02% |
|   Execute Scalar                   | 00:00:03.5927309 |       670 | 00:00:00.0053622 |    0.05% |
|   Execute Scalar Async             | 00:00:00.1116682 |        24 | 00:00:00.0046528 |    0.00% |
|   Execute NonQuery                 | 00:09:51.9256703 |     80006 | 00:00:00.0073985 |    8.84% |
|   Execute NonQuery Async           | 00:00:06.0506038 |       887 | 00:00:00.0068214 |    0.09% |
|   CreateTable                      | 00:01:29.4782382 |     11795 | 00:00:00.0075861 |    1.34% |
|   CreateTable Async                | 00:00:00.4432284 |        72 | 00:00:00.0061559 |    0.01% |
|   DropTable                        | 00:03:22.1956890 |     23256 | 00:00:00.0086943 |    3.02% |
|   DropTable Async                  | 00:00:00.6651676 |       110 | 00:00:00.0060469 |    0.01% |
|   Delete Object                    | 00:00:00.3539495 |        58 | 00:00:00.0061025 |    0.01% |
|   Delete Object Async              | 00:00:00.0722338 |         6 | 00:00:00.0120389 |    0.00% |
