Count : 90
+------------------------------------+------------------+-----------+------------------+----------+
| Name                               | Elapsed          | CallCount | TimePerCall      | Percent  |
+------------------------------------+------------------+-----------+------------------+----------+
| IQueryProvider.Execute<T>          | 00:03:19.9097679 |     15776 | 00:00:00.0126717 |    2.84% |
| IQueryProvider.GetEnumerator<T>    | 00:13:58.1761135 |     43752 | 00:00:00.0191574 |   11.90% |
| IQueryProvider.GetEnumerator       | 00:00:00.5494648 |       104 | 00:00:00.0052833 |    0.01% |
|   GetQuery                         | 00:07:00.8220562 |     69447 | 00:00:00.0060596 |    5.98% |
|     Find                           | 00:00:17.2920819 |     69447 | 00:00:00.0002489 |    0.25% |
|       Expose                       | 00:00:01.9854137 |     69447 | 00:00:00.0000285 |    0.03% |
|       Find                         | 00:00:03.1721631 |     76363 | 00:00:00.0000415 |    0.05% |
|     Create                         | 00:06:41.7961810 |     27703 | 00:00:00.0145037 |    5.71% |
|       Build                        | 00:06:39.6996361 |     27915 | 00:00:00.0143184 |    5.68% |
|         BuildSequence              | 00:11:24.3878232 |    343181 | 00:00:00.0019942 |    9.72% |
|           Build                    | 00:11:13.8900555 |    282496 | 00:00:00.0023854 |    9.57% |
|         BuildQuery                 | 00:05:34.2714150 |     27775 | 00:00:00.0120349 |    4.75% |
|           FinalizeQuery            | 00:03:11.4589711 |     66300 | 00:00:00.0028877 |    2.72% |
|   GetIEnumerable                   | 00:00:00.5097929 |     57958 | 00:00:00.0000087 |    0.01% |
| Execute                            | 00:34:14.5199852 |    227191 | 00:00:00.0090431 |   29.17% |
|   Execute Query                    | 00:21:09.5903103 |     48997 | 00:00:00.0259115 |   18.03% |
|   Execute Query Async              | 00:00:14.4329320 |      8647 | 00:00:00.0016691 |    0.20% |
|   Execute Element                  | 00:00:16.5103247 |      2764 | 00:00:00.0059733 |    0.23% |
|   Execute Element Async            | 00:00:00.8981097 |       172 | 00:00:00.0052215 |    0.01% |
|   Execute Scalar                   | 00:00:01.6691170 |       670 | 00:00:00.0024912 |    0.02% |
|   Execute Scalar Async             | 00:00:00.1122271 |        24 | 00:00:00.0046761 |    0.00% |
|   Execute NonQuery                 | 00:05:34.3372913 |     80094 | 00:00:00.0041743 |    4.75% |
|   Execute NonQuery Async           | 00:00:03.6393109 |       887 | 00:00:00.0041029 |    0.05% |
|   CreateTable                      | 00:00:49.9984343 |     11811 | 00:00:00.0042332 |    0.71% |
|   CreateTable Async                | 00:00:00.3579577 |        72 | 00:00:00.0049716 |    0.01% |
|   DropTable                        | 00:01:47.3514660 |     23288 | 00:00:00.0046097 |    1.52% |
|   DropTable Async                  | 00:00:00.3835302 |       110 | 00:00:00.0034866 |    0.01% |
|   Delete Object                    | 00:00:00.4989157 |        58 | 00:00:00.0086019 |    0.01% |
|   Delete Object Async              | 00:00:00.0407230 |         6 | 00:00:00.0067871 |    0.00% |
|   Insert Object                    | 00:01:57.7356982 |     34689 | 00:00:00.0033940 |    1.67% |
|   Insert Object Async              | 00:00:00.6203046 |       250 | 00:00:00.0024812 |    0.01% |
|   InsertOrReplace Object           | 00:00:01.4075197 |       197 | 00:00:00.0071447 |    0.02% |
|   InsertOrReplace Object Async     | 00:00:00.1000043 |        28 | 00:00:00.0035715 |    0.00% |
|   InsertWithIdentity Object        | 00:00:02.0118296 |       646 | 00:00:00.0031142 |    0.03% |
|   InsertWithIdentity Object Async  | 00:00:00.0792981 |        16 | 00:00:00.0049561 |    0.00% |
|   Update Object                    | 00:00:01.7966387 |       216 | 00:00:00.0083177 |    0.03% |
|   Update Object Async              | 00:00:00.0883696 |         9 | 00:00:00.0098188 |    0.00% |
|   BulkCopy                         | 00:01:02.2721452 |      4615 | 00:00:00.0134934 |    0.88% |
|   BulkCopy Async                   | 00:00:03.9222747 |       436 | 00:00:00.0089960 |    0.06% |
|     BuildSql                       | 00:00:13.6011143 |    112724 | 00:00:00.0001206 |    0.19% |
|   SQL Execute                      | 00:00:57.2568037 |      5192 | 00:00:00.0110278 |    0.81% |
|   SQL Execute<T>                   | 00:00:06.8939648 |      3014 | 00:00:00.0022873 |    0.10% |
|   SQL ExecuteAsync                 | 00:00:00.4312035 |       229 | 00:00:00.0018829 |    0.01% |
|   SQL ExecuteAsync<T>              | 00:00:00.0832806 |        54 | 00:00:00.0015422 |    0.00% |
|     ADO.NET                        | 00:08:12.6974810 |    362893 | 00:00:00.0013576 |    7.00% |
|       Connection Open              | 00:01:04.6118270 |     25592 | 00:00:00.0025246 |    0.92% |
|       Connection OpenAsync         | 00:00:01.5092044 |     77719 | 00:00:00.0000194 |    0.02% |
|       Connection Close             | 00:00:00.0000436 |         2 | 00:00:00.0000218 |    0.00% |
|       Connection CloseAsync        | 00:00:00.0001421 |         1 | 00:00:00.0001421 |    0.00% |
|       Connection Dispose           | 00:00:00.4454711 |     28312 | 00:00:00.0000157 |    0.01% |
|       Connection DisposeAsync      | 00:00:00.8615807 |     75018 | 00:00:00.0000114 |    0.01% |
|       Connection BeginTransaction  | 00:00:05.3701049 |      1389 | 00:00:00.0038661 |    0.08% |
|       Transaction Commit           | 00:00:00.0331768 |        16 | 00:00:00.0020735 |    0.00% |
|       Transaction Rollback         | 00:00:00.0766280 |        66 | 00:00:00.0011610 |    0.00% |
|       Transaction Dispose          | 00:00:04.5361261 |      1391 | 00:00:00.0032610 |    0.06% |
|       Command ExecuteScalar        | 00:00:00.7849703 |       586 | 00:00:00.0013395 |    0.01% |
|       Command ExecuteReader        | 00:01:59.9964484 |     38800 | 00:00:00.0030926 |    1.70% |
|       Command ExecuteReaderAsync   | 00:00:58.7550011 |     27579 | 00:00:00.0021304 |    0.83% |
|       Command ExecuteNonQuery      | 00:02:29.6484307 |     35515 | 00:00:00.0042136 |    2.12% |
|       Command ExecuteNonQueryAsync | 00:01:26.0683258 |     50907 | 00:00:00.0016906 |    1.22% |
|     OnTraceInternal                | 00:00:10.4226113 |    395014 | 00:00:00.0000263 |    0.15% |
|     Materialization                | 00:04:59.5985453 |  10329120 | 00:00:00.0000290 |    4.25% |
|   GetSqlText                       | 00:00:03.4638763 |       982 | 00:00:00.0035273 |    0.05% |
| Interceptors                       | 00:00:00.1351007 |     16642 | 00:00:00.0000081 |    0.00% |
|   CommandInterceptor               | 00:00:00.0796449 |      8908 | 00:00:00.0000089 |    0.00% |
|     CommandInitialized             | 00:00:00.0302431 |      2534 | 00:00:00.0000119 |    0.00% |
|     ExecuteScalar                  | 00:00:00.0217523 |      1878 | 00:00:00.0000115 |    0.00% |
|     ExecuteNonQuery                | 00:00:00.0006862 |       566 | 00:00:00.0000012 |    0.00% |
|     ExecuteReader                  | 00:00:00.0178667 |        38 | 00:00:00.0004701 |    0.00% |
|     ExecuteReaderAsync             | 00:00:00.0000673 |        20 | 00:00:00.0000033 |    0.00% |
|     AfterExecuteReader             | 00:00:00.0021663 |      1936 | 00:00:00.0000011 |    0.00% |
|     BeforeReaderDispose            | 00:00:00.0049889 |      1898 | 00:00:00.0000026 |    0.00% |
|     BeforeReaderDisposeAsync       | 00:00:00.0018741 |        38 | 00:00:00.0000493 |    0.00% |
|   ConnectionInterceptor            | 00:00:00.0166675 |      1868 | 00:00:00.0000089 |    0.00% |
|     ConnectionOpening              | 00:00:00.0021096 |       444 | 00:00:00.0000047 |    0.00% |
|     ConnectionOpeningAsync         | 00:00:00.0055908 |       490 | 00:00:00.0000114 |    0.00% |
|     ConnectionOpened               | 00:00:00.0007382 |       444 | 00:00:00.0000016 |    0.00% |
|     ConnectionOpenedAsync          | 00:00:00.0082289 |       490 | 00:00:00.0000167 |    0.00% |
|   DataContextInterceptor           | 00:00:00.0127356 |      5184 | 00:00:00.0000024 |    0.00% |
|     OnClosing                      | 00:00:00.0051567 |      2320 | 00:00:00.0000022 |    0.00% |
|     OnClosingAsync                 | 00:00:00.0028595 |       272 | 00:00:00.0000105 |    0.00% |
|     OnClosed                       | 00:00:00.0025945 |      2320 | 00:00:00.0000011 |    0.00% |
|     OnClosedAsync                  | 00:00:00.0021249 |       272 | 00:00:00.0000078 |    0.00% |
|   EntityServiceInterceptor         | 00:00:00.0254412 |        72 | 00:00:00.0003533 |    0.00% |
|     EntityCreated                  | 00:00:00.0254412 |        72 | 00:00:00.0003533 |    0.00% |
|   UnwrapDataObjectInterceptor      | 00:00:00.0006115 |       610 | 00:00:00.0000010 |    0.00% |
|     UnwrapConnection               | 00:00:00.0001768 |        24 | 00:00:00.0000073 |    0.00% |
|     UnwrapTransaction              | 00:00:00.0001523 |        12 | 00:00:00.0000126 |    0.00% |
|     UnwrapDataReader               | 00:00:00.0002824 |       574 | 00:00:00.0000004 |    0.00% |
| Total                              | 01:57:22.3596500 |  12622230 | 00:00:00.0005579 |  100.00% |
+------------------------------------+------------------+-----------+------------------+----------+

