Count : 93
+------------------------------------+------------------+-----------+------------------+----------+
| Name                               | Elapsed          | CallCount | TimePerCall      | Percent  |
+------------------------------------+------------------+-----------+------------------+----------+
| IQueryProvider.Execute<T>          | 00:02:27.9497302 |     15668 | 00:00:00.0094427 |    2.63% |
| IQueryProvider.GetEnumerator<T>    | 00:08:24.2984883 |     43105 | 00:00:00.0116993 |    8.95% |
| IQueryProvider.GetEnumerator       | 00:00:00.3773181 |       104 | 00:00:00.0036280 |    0.01% |
|   GetQuery                         | 00:05:03.8306452 |     68684 | 00:00:00.0044236 |    5.39% |
|     Find                           | 00:00:25.7289536 |     68684 | 00:00:00.0003745 |    0.46% |
|       Expose                       | 00:00:07.2480914 |     68684 | 00:00:00.0001055 |    0.13% |
|       Find                         | 00:00:04.8480267 |     75572 | 00:00:00.0000641 |    0.09% |
|     Create                         | 00:04:36.0952463 |     27051 | 00:00:00.0102064 |    4.90% |
|       Build                        | 00:04:34.2196455 |     27263 | 00:00:00.0100583 |    4.87% |
|         BuildSequence              | 00:07:47.3334742 |    336213 | 00:00:00.0013899 |    8.30% |
|           Build                    | 00:07:35.4184700 |    277723 | 00:00:00.0016398 |    8.08% |
|         BuildQuery                 | 00:03:44.1971556 |     27131 | 00:00:00.0082635 |    3.98% |
|           FinalizeQuery            | 00:02:38.8378185 |     64685 | 00:00:00.0024555 |    2.82% |
|   GetIEnumerable                   | 00:00:00.1535107 |     57245 | 00:00:00.0000026 |    0.00% |
| Execute                            | 00:33:35.6134584 |    221816 | 00:00:00.0090868 |   35.78% |
|   Execute Query                    | 00:19:05.3361721 |     48284 | 00:00:00.0237208 |   20.33% |
|   Execute Query Async              | 00:00:08.9819318 |      8647 | 00:00:00.0010387 |    0.16% |
|   Execute Element                  | 00:00:12.1959529 |      2712 | 00:00:00.0044970 |    0.22% |
|   Execute Element Async            | 00:00:00.8485925 |       172 | 00:00:00.0049336 |    0.02% |
|   Execute Scalar                   | 00:00:01.4456125 |       670 | 00:00:00.0021576 |    0.03% |
|   Execute Scalar Async             | 00:00:00.1013594 |        24 | 00:00:00.0042233 |    0.00% |
|   Execute NonQuery                 | 00:06:34.7193558 |     77934 | 00:00:00.0050647 |    7.01% |
|   Execute NonQuery Async           | 00:00:03.9679751 |       887 | 00:00:00.0044734 |    0.07% |
|   CreateTable                      | 00:01:00.1470493 |     11515 | 00:00:00.0052233 |    1.07% |
|   CreateTable Async                | 00:00:00.2302568 |        72 | 00:00:00.0031980 |    0.00% |
|   DropTable                        | 00:01:34.5527712 |     22696 | 00:00:00.0041660 |    1.68% |
|   DropTable Async                  | 00:00:00.3626167 |       110 | 00:00:00.0032965 |    0.01% |
|   Delete Object                    | 00:00:00.2417806 |        58 | 00:00:00.0041686 |    0.00% |
|   Delete Object Async              | 00:00:00.0433692 |         6 | 00:00:00.0072282 |    0.00% |
|   Insert Object                    | 00:03:07.3099852 |     33427 | 00:00:00.0056035 |    3.32% |
